Vehicle_Type;Dealer_Type;State;City;Dealer_Name;Address;Pin_code;Email;Phone_No;;;;;;;;;
Motorcycles;Authorised;Dealer;Kerala;Alappuzha;POPULAR;"BAJAJ,""VI5A";(VIII211);NH47;Punnapra;North;Po;;"Alappuzha"",688014,d10816.sales@baldealer.com,9995809271";;;;
Motorcycles;Authorised;Dealer;Kerala;Aluva;JKB;"BAJAJ,""Building";No.XVII;-0;27;&;28;Pulinchode;;"Aluva"",683101,d11322.sales@baldealer.com,9544501199";;;
Motorcycles;Authorised;Dealer;Kerala;Kannur;KVR;"BAJAJ,""KVR";Building;;Opp.;Sadhu;Kalyana;Mandapam;;"Kannur"",670012,d10569.sales@baldealer.com,7558805533";;;
Motorcycles;Authorised;Dealer;Kerala;Kasargod;ZAIN;"BAJAJ,""Ground";Floor;;Zain;Arcade;Near;Chandragiri;Bridge;;"Kasargod"",671121,d10502.sales@baldealer.com,9074214695";;
Motorcycles;Authorised;Dealer;Kerala;Kochi;POPULAR;"BAJAJ,""402808A";Padivattom;NH;Bye;Pass;;"Kochi"",682024,d10480.sales@baldealer.com,9895090605";;;;;
Motorcycles;Authorised;Dealer;Kerala;Kochi;ROYAL;"BAJAJ,""Container";Road;;Signal;Junction;Cheranalloor;PO;;"Kochi"",682034,d13020.sales@baldealer.com,9745781555";;;
Motorcycles;Authorised;Dealer;Kerala;Kollam;SARATHY;"BAJAJ,""Pallimukku";Po;;;"Kollam"",691010,d11207.sales@baldealer.com,";;;;;;;
Motorcycles;Authorised;Dealer;Kerala;Kottayam;ROYAL;"BAJAJ,""Royal";Tower;Nattakam;PO;;"Kottayam"",686013,d10594.sales@baldealer.com,9447712855";;;;;;
Motorcycles;Authorised;Dealer;Kerala;Kozhikode;KVR;"BAJAJ,""KVR";Tower;;Kannur;Road;Chakkorathkulam;;Westhill;;"Kozhikode"",673005,d10196.sales@baldealer.com,";;
Motorcycles;Authorised;Dealer;Kerala;Nedumangad;KALLINGAL;"BAJAJ,""Kallingal";Building;VSSC;Road;;Kallingal;Jn;;(Distt.;Thiruvananthapuram);;"Nedumangad"",695541,d11491.sales@baldealer.com,9961714441"
Motorcycles;Authorised;Dealer;Kerala;Palakkad;GRAND;"BAJAJ,""13426,";Opp;Parvathy;Mandapam;Star;City;;Kalmandapam;;"Palakkad"",678007,d11208.sales@baldealer.com,9947030044";;
Motorcycles;Authorised;Dealer;Kerala;Pathanamthitta;KAINIKKARA;"BAJAJ,""Kainikkara";Mall;TK;Road;;Kumbazha;PO;;"Pathanamthitta"",689653,d12968.sales@baldealer.com,9744367000";;;
Motorcycles;Authorised;Dealer;Kerala;Perinthalmanna;KVR;"BAJAJ,""Calicut";Road;;Angadippuram;Dist;Mallapuram;;"Perinthalmanna"",679321,d11972.sales@baldealer.com,9961849722";;;;
Motorcycles;Authorised;Dealer;Kerala;Thiruvalla;KADUVETTOOR;"BAJAJ,""Kaduvettoor";Building;;M.C.;Road;;Muthoor;PO;Dist;Pathanamthitta;;"Thiruvalla"",689107,d12873.sales@baldealer.com,8281127944"
Motorcycles;Authorised;Dealer;Kerala;Thiruvananthapuram;DEEDI;"BAJAJ,""TC";551563;;Kairmanam;Junction;Pappanamcode;;"Thiruvananthapuram"",695040,d10092.sales@baldealer.com,9447049393";;;;
Motorcycles;Authorised;Dealer;Kerala;Thiruvananthapuram;PIONEER;"BAJAJ,""T.C.141727-8,";Ganapathi;Kovil;Road;Vazhuthacaud;;"Thiruvananthapuram"",695014,d11482.sales@baldealer.com,9567266644";;;;;
Motorcycles;Authorised;Dealer;Kerala;Thodupuzha;ROYAL;"BAJAJ,""Vengalloor,";Muvattupuzha;Road;Idukki;Distt;;"Thodupuzha"",685584,d10839.sales@baldealer.com,9446491337";;;;;
Motorcycles;Authorised;Dealer;Kerala;Thrissur;GRAND;"BAJAJ,""Near";Thiruvankkavu;Temple;NH;Bye;Pass;;;Mannuthy;;"Thrissur"",680655,d12068.sales@baldealer.com,";
Motorcycles;Authorised;Dealer;Kerala;Tirur;KVR;"BAJAJ,""Thazhepalam,";Naduvilangadi;;"Tirur"",676107,d11971.sales@baldealer.com,9605003406";;;;;;;;
